Thousands of Words ;Length;Rank Oxford 100;;Rank;;;Fry's List of 1000 Most Common Words
a;1;6;;;;;the
I ;;10;;;;;of
am;2;;;;;;and
an;2;32;;;;;a
as;2;17;;;;;to
at;2;20;;;;;in
be;2;2;;;;;is
by;2;14;;;;;you
do;2;19;;;;;that
go;2;;;;;;it
he;2;16;;;;;he
if;2;44;;;;;was
in;2;7;;;;;for
is;2;;;;;;on
it;2;11;;;;;are
me;2;;;;;;as
my;2;;;;;;with
no;2;;;;;;his
of;2;4;;;;;they
on;2;14;;;;;I
or;2;31;;;;;at
ox;2;;;;;;be
so;2;41;;;;;this
to;2;3;;;;;have
up;2;42;;;;;from
us;2;;;;;;or
we;2;27;;;;;one
ace;3;;;;;;had
act;3;;;;;;by
add;3;;;;;;word
age;3;;;;;;but
ago;3;;;;;;not
aid;3;;;;;;what
aim;3;;;;;;all
air;3;;;;;;were
ale;3;;;33;will;;we
all;3;36;;34;my;;when
amp;3;;;35;one;;your
and;3;5;;;;;can
ant;3;;;37;would;;said
any;3;;;38;there;;there
ape;3;;;39;their;;use
apt;3;;;40;what;;an
arc;3;;;;;;each
are;3;;;;;;which
arm;3;;;43;out;;she
art;3;;;44;if;;do
ash;3;;;45;about;;how
ask;3;;;46;who;;their
ass;3;;;47;get;;if
ate;3;;;48;which;;will
awl;3;;;49;go;;up
awn;3;;;50;me;;other
axe;3;;;51;when;;about
aye;3;;;52;make;;out
bad;3;;;53;can;;many
bag;3;;;54;like;;then
ban;3;;;55;time;;them
bar;3;;;56;no;;these
bat;3;;;57;just;;so
bay;3;;;58;him;;some
bed;3;;;59;know;;her
bee;3;;;60;take;;would
beg;3;;;61;person;;make
bet;3;;;62;into;;like
bid;3;;;63;year;;him
big;3;;;64;your;;into
bit;3;;;65;good;;time
boa;3;;;66;some;;has
Bob;3;;;67;could;;look
bog;3;;;68;them;;two
boo;3;;;69;see;;more
bop;3;;;70;other;;write
bow;3;;;71;than;;go
box;3;;;72;then;;see
boy;3;;;73;now;;number
bud;3;;;74;look;;no
bug;3;;;75;only;;way
bum;3;;;76;come;;could
bun;3;;;77;its;;people
bur;3;;;78;over;;my
bus;3;;;79;think;;than
but;3;22;1;80;also;;first
buy;3;;;81;back;;water
bye;3;;;82;after;;been
cab;3;;;83;use;;call
cam;3;;;84;two;;who
can;3;;;85;how;;oil
cap;3;;;86;our;;now
car;3;;;87;work;;find
cat;3;;;88;first;;long
cay;3;;;89;well;;down
cob;3;;;90;way;;day
cod;3;;;91;even;;did
cog;3;;;92;new;;get
con;3;;;93;want;;come
cop;3;;;94;because;;made
cot;3;;;95;any;;may
cow;3;;;96;these;;part
coy;3;;;97;give;;over
cry;3;;;98;day;;new
cub;3;;;99;most;;sound
cud;3;;;100;us;;take
cue;3;;;;;;only
cup;3;;;;;;little
cut;3;;;;;;work
dab;3;;;;;;know
dad;3;;;;;;place
dam;3;;;;;;year
day;3;;;;;;live
den;3;;;;;;me
dew;3;;;;;;back
did;3;;;;;;give
die;3;;;;;;most
dig;3;;;;;;very
dim;3;;;;;;after
din;3;;;;;;thing
dip;3;;;;;;our
doc;3;;;;;;just
doe;3;;;;;;name
dog;3;;;;;;good
don;3;;;;;;sentence
dot;3;;;;;;man
dry;3;;;;;;think
dub;3;;;;;;say
dud;3;;;;;;great
due;3;;;;;;where
dug;3;;;;;;help
duo;3;;;;;;through
dye;3;;;;;;much
ear;3;;;;;;before
eat;3;;;;;;line
ebb;3;;;;;;right
eel;3;;;;;;too
egg;3;;;;;;mean
ego;3;;;;;;old
elf;3;;;;;;any
elk;3;;;;;;same
elm;3;;;;;;tell
end;3;;;;;;boy
eon;3;;;;;;follow
era;3;;;;;;came
ere;3;;;;;;want
err;3;;;;;;show
eve;3;;;;;;also
eye;3;;;;;;around
fad;3;;;;;;form
fan;3;;;;;;three
far;3;;;;;;small
fat;3;;;;;;set
fax;3;;;;;;put
fed;3;;;;;;end
fee;3;;;;;;does
few;3;;;;;;another
fig;3;;;;;;well
fit;3;;;;;;large
fix;3;;;;;;must
flu;3;;;;;;big
fly;3;;;;;;even
foe;3;;;;;;such
fog;3;;;;;;because
for;3;12;;;;;turn
fox;3;;;;;;here
fry;3;;;;;;why
fun;3;;;;;;ask
fur;3;;;;;;went
gab;3;;;;;;men
gad;3;;;;;;read
gag;3;;;;;;need
gap;3;;;;;;land
gar;3;;;;;;different
gas;3;;;;;;home
gay;3;;;;;;us
gel;3;;;;;;move
gem;3;;;;;;try
get;3;;;;;;kind
gig;3;;;;;;hand
gin;3;;;;;;[picture
gob;3;;;;;;again
god;3;;;;;;change
goo;3;;;;;;off
got;3;;;;;;play
gum;3;;;;;;spell
gun;3;;;;;;air
gut;3;;;;;;away
guy;3;;;;;;animal
gym;3;;;;;;house
had;3;;;;;;point
ham;3;;;;;;page
has;3;;;;;;letter
hat;3;;;;;;mother
hay;3;;;;;;answer
hen;3;;;;;;found
her;3;29;;;;;study
hey;3;;;;;;still
hid;3;;;;;;learn
him;3;;;;;;should
hip;3;;;;;;America
his;3;23;;;;;world
hit;3;;;;;;high
hoe;3;;;;;;every
hog;3;;;;;;near
hop;3;;;;;;add
hot;3;;;;;;food
how;3;;;;;;between
hub;3;;;;;;own
hue;3;;;;;;below
hug;3;;;;;;country
huh;3;;;;;;plant
hum;3;;;;;;last
hut;3;;;;;;school
ice;3;;;;;;father
icy;3;;;;;;keep
ilk;3;;;;;;tree
ill;3;;;;;;never
ink;3;;;;;;start
inn;3;;;;;;city
ion;3;;;;;;earth
ire;3;;;;;;eye
irk;3;;;;;;light
its;3;;;;;;thought
ivy;3;;;;;;head
jab;3;;;;;;under
jam;3;;;;;;story
jar;3;;;;;;saw
jaw;3;;;;;;left
jay;3;;;;;;don’t
jet;3;;;;;;few
jig;3;;;;;;while
job;3;;;;;;along
jog;3;;;;;;might
jot;3;;;;;;close
joy;3;;;;;;something
jug;3;;;;;;seem
jut;3;;;;;;next
keg;3;;;;;;hard
ken;3;;;;;;open
key;3;;;;;;example
kid;3;;;;;;begin
kin;3;;;;;;life
kit;3;;;;;;always
lab;3;;;;;;those
lad;3;;;;;;both
lag;3;;;;;;paper
lam;3;;;;;;together
lap;3;;;;;;got
law;3;;;;;;group
lax;3;;;;;;often
lay;3;;;;;;run
led;3;;;;;;important
lee;3;;;;;;until
leg;3;;;;;;children
let;3;;;;;;side
lid;3;;;;;;feet
lie;3;;;;;;car
lip;3;;;;;;mile
lit;3;;;;;;night
lob;3;;;;;;walk
log;3;;;;;;white
lop;3;;;;;;sea
lot;3;;;;;;began
low;3;;;;;;grow
lug;3;;;;;;took
mad;3;;;;;;river
man;3;;;;;;four
map;3;;;;;;carry
mat;3;;;;;;state
max;3;;;;;;once
may;3;;;;;;book
men;3;;;;;;hear
met;3;;;;;;stop
mew;3;;;;;;without
mid;3;;;;;;second
mil;3;;;;;;late
mix;3;;;;;;miss
mob;3;;;;;;idea
mom;3;;;;;;enough
moo;3;;;;;;eat
mop;3;;;;;;face
mot;3;;;;;;watch
mow;3;;;;;;far
mud;3;;;;;;Indian
mug;3;;;;;;real
mum;3;;;;;;almost
nab;3;;;;;;let
nag;3;;;;;;above
nap;3;;;;;;girl
nay;3;;;;;;sometimes
